"Model Number","Model Name","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","L1 Regularization","L2 Regularization","Win Rate","CallTrump Passed Tests","Discard Passed Tests","Play Passed Tests","Completion Time","Battle Command","Test Command"
"14","can5ad.14","0.25","150","63","200","0","0.01","0.4954",,"12",,"[2026/03/25 22:52:04]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.14 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.14 -json output.json"
"15","can5ad.15","0.25","150","127","200","0","0.01","0.5016",,"12",,"[2026/03/25 23:25:13]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.15 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.15 -json output.json"
"16","can5ad.16","0.25","225","31","200","0","0.01","0.50228",,"12",,"[2026/03/25 23:59:12]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.16 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.16 -json output.json"
"17","can5ad.17","0.25","225","63","200","0","0.01","0.49984",,"12",,"[2026/03/26 00:35:11]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.17 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.17 -json output.json"
"18","can5ad.18","0.25","225","127","200","0","0.01","0.50032",,"12",,"[2026/03/26 01:12:09]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.18 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.18 -json output.json"
"19","can5ad.19","0.375","75","31","200","0","0.01","0.4998",,"10",,"[2026/03/26 01:37:45]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.19 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.19 -json output.json"
"20","can5ad.20","0.375","75","63","200","0","0.01","0.49776",,"13",,"[2026/03/26 02:04:29]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.20 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.20 -json output.json"
"21","can5ad.21","0.375","75","127","200","0","0.01","0.50096",,"12",,"[2026/03/26 02:32:10]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.21 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.21 -json output.json"
"22","can5ad.22","0.375","150","31","200","0","0.01","0.49536",,"10",,"[2026/03/26 03:01:59]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.22 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.22 -json output.json"
"23","can5ad.23","0.375","150","63","200","0","0.01","0.49768",,"13",,"[2026/03/26 03:32:46]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.23 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.23 -json output.json"
"24","can5ad.24","0.375","150","127","200","0","0.01","0.50168",,"12",,"[2026/03/26 04:04:57]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.24 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.24 -json output.json"
"25","can5ad.25","0.375","225","31","200","0","0.01","0.49844",,"12",,"[2026/03/26 04:38:19]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.25 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.25 -json output.json"
"26","can5ad.26","0.375","225","63","200","0","0.01","0.49916",,"13",,"[2026/03/26 05:13:48]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.26 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.26 -json output.json"
"27","can5ad.27","0.375","225","127","200","0","0.01","0.50044",,"12",,"[2026/03/26 05:49:55]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.27 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.27 -json output.json"
"28","can5ad.28","0.125","75","31","300","0","0.01","0.50568",,"10",,"[2026/03/26 06:17:30]","dotnet run --project NemesisEuchre.Console -- -t1m gen4b -t2m gen4b -t2m-advanced-discard can5ad.28 -c 25000 -json output.json","dotnet run --project NemesisEuchre.Console -- test -m can5ad.28 -json output.json"
