"Model Name","Temperature","Learn Rate","Iterations","Number Of Leaves","Minimum Example Count Per Leaf","Win Rate vs Gen1c","Call Trump Passed Tests"
"gen1c.103","0.025","0.7","300","64","40","0.64732","10"
"gen1b2.104","0.25","0.7","300","64","40","0.6428","17"
"gen1c.104","0.25","0.7","300","64","40","0.65096","14"
"gen1b2.105","2.5","0.7","300","64","40","0.60192","13"
"gen1c.105","2.5","0.7","300","64","40","0.60668","11"
"gen1b2.106","0.025","1.15","300","64","40","0.56704","17"
"gen1c.106","0.025","1.15","300","64","40","0.5958","19"
"gen1b2.107","0.25","1.15","300","64","40","0.57952","19"
"gen1c.107","0.25","1.15","300","64","40","0.5976","12"
"gen1b2.108","2.5","1.15","300","64","40","0.57868","17"
"gen1c.108","2.5","1.15","300","64","40","0.58156","16"
